,,,,,
Name,Purpose,Quantity,Total,Link,Distributor
PCB,to make a blinky board,5,$4,https://docs.google.com/document/d/1htVVe9S2DpEnFPv3AnMrc1PgFRGhaIM51w9XKG78H9s/edit?tab=t.0,JLCPCB
